station,lat,long,date,temp
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T06:45:00,55
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T07:45:00,57
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T08:56:00,64
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T09:47:00,68
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T10:45:00,70
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T13:45:00,79
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T14:45:00,81
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T15:45:00,81
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T16:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T17:45:00,72
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T18:45:00,68
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T19:45:00,64
"SCHENECTADY, NY US",42.85,-73.95,2024-09-17T20:45:00,63
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T06:45:00,55
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T09:00:00,64
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T10:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T14:45:00,79
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T15:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-18T16:45:00,63
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T11:45:00,79
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T13:45:00,82
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T15:45:00,82
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T18:45:00,72
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T19:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-19T20:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T06:45:00,59
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T08:47:00,64
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T09:52:00,70
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T11:45:00,77
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T15:45:00,79
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T17:45:00,73
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T18:45:00,70
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T19:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-20T20:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T06:45:00,61
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T08:45:00,68
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T10:45:00,72
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T11:45:00,73
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T12:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T14:45:00,79
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T16:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-21T19:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T06:45:00,55
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T10:45:00,70
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T13:45:00,75
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T15:45:00,72
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T16:45:00,72
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T17:45:00,70
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T18:45:00,66
"SCHENECTADY, NY US",42.85,-73.95,2024-09-22T19:45:00,66
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T00:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T00:00:00,
